material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.4925,0.97896,0.02104,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.4579,0.97885,0.02115,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.4235,0.97874,0.02126,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.3894,0.97779,0.02221,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.3555,0.97646,0.02354,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.3218,0.97738,0.02262,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.2884,0.97848,0.02152,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.2552,0.97569,0.02431,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.2223,0.97536,0.02464,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.1896,0.97578,0.02422,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.1571,0.97557,0.02443,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.1249,0.97626,0.02374,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.0929,0.97442,0.02558,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.0611,0.97783,0.02217,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.0295,0.97683,0.02317,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.9982,0.97818,0.02182,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.967,0.97743,0.02257,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.9361,0.97612,0.02388,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.9054,0.9785,0.0215,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.8749,0.97701,0.02299,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,8.8446,0.97958,0.02042,alumgrte.prn
